_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments,section,location,mentionPrevious,mention,mentionNext
"""5fab655f489a8840dfc2afd8""",一带一路,年度报告,2019,天翔环境：2019年年度报告摘要（更新后）,300362.SZ,天翔环境,制造业,通用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300362/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,132,“十九大”明确提出加快生态文明体制改革，建设美丽中国、强化土壤污染管控和修复，提高污染排放标准，强化排污者责任，作为危险废弃物的含油污泥存量大、技术壁垒高，在处置需求与政策的双重压力下，油田环保市场成为一片蓝海。2011年我国实施的《废矿物油回收利用污染控制技术规范》<HJ607-2011>规定，含油率5%以上的含油污泥不能直接焚烧，需要进行原油回收。2015年1月“史上最严”环保法出台，2016年5月“土十条”发布。2016年发布的《国家危险废物名录》将废矿物油与含矿物油废物（HW08）纳入危险废物名单，严格监管油田石化等行业产生油泥处置。2017年5月SY /T7300和SY /T7301正式实施，标志着法律法规日趋严格，而民众的环保意识也在逐渐增强。地方政府也相继出台一系列管理规定油田环保条例或管理办法，并严格要求，不执行将被限制开采。目前国内政府也相继出台一系列管理规定油田环保条例或管理办法，并严格要求，不执行将被限制开采。目前国内油田环保尚处于起步阶段，竞争格局也未形成，相对于全球油田环保市场约40亿美元的规模，10%左右的年均增速。我国拥有几十年的油田钻探历史，由于过去简单粗放的处理方法导致各大油田有大量的存量含油污泥和废水，并且每天还在源源不断的新增，含油废水约10~12亿立方米，含油污泥约1000万方。而各省颁发的HW08类危废经营许可处理量总和却小于危废产生量。公司通过整合研发已拥有多种含油泥浆污染和压裂返排液污染处理工艺和技术，为公司后续的业务拓展提供了有力支撑。,4、“一带一路”绿色丝绸之路,近年来，中国环保企业走出去的步伐明显加快，2017年四部委联合发布的《关于推进绿色“一带一路”建设的指导意见》和《“一带一路”生态环境保护合作规划》，并设立了生态环保大数据服务平台和“一带一路”绿色发展国际联盟，为中国环保企业走出去提供信息支持、政策服务，搭建合作平台，推动环保企业发挥建设绿色“一带一路”排头兵作用。我国环保企业在走出去的过程中，向沿线国家送去了绿色生态的理念，树立了我国环保的新形象。“一带一路”沿线大部分国家面临发展转型期，环保市场需求巨大，同时我国环保产业具有较高的性价比、效果好、技术实用性强的比较优势，这些都为我国环保产业深耕国际市场奠定了良好基础。     2015年公司非公开发行股票收购美国圣骑士公司（北美领先的污水污泥处置设备与服务的提供商），公司通过引进吸收海外标的公司先进的环保技术和管理经验，在拓展“一带一路”绿色丝绸之路环保市场方面拥有较强的品牌和技术优势。     未来公司可借助“环境大建设”环保行业快速发展的有利时机，充分发挥公司在先进装备制造方面的优势、国际化整合优势，通过引进整合、创新研发、不断提高工艺技术水平、项目执行能力，充分利用品牌、资本、技术工艺优势，在激烈的环保行业竞争中，不断拓展市场空间，提高盈利能力和公司核心竞争力。
"""5fab655f489a8840dfc2afd8""",一带一路,年度报告,2019,天翔环境：2019年年度报告摘要（更新后）,300362.SZ,天翔环境,制造业,通用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300362/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,133,,近年来，中国环保企业走出去的步伐明显加快，2017年四部委联合发布的《关于推进绿色“一带一路”建设的指导意见》和《“一带一路”生态环境保护合作规划》，并设立了生态环保大数据服务平台和“一带一路”绿色发展国际联盟，为中国环保企业走出去提供信息支持、政策服务，搭建合作平台，推动环保企业发,
"""5fab655f489a8840dfc2afda""",一带一路,年度报告,2019,*ST猛狮：2019年年度报告摘要（更新后）,002684.SZ,*ST猛狮,制造业,电气机械及器材制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002684/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,66,一、报告期内公司从事的主要业务,公司于2019年1月18日召开第六届董事会第二十九次会议，同意公司发展战略调整为：以“能源转换”和“一带一路”为战略出发点，建立以能源储存为核心、清洁能源电力工程及新能源应用为辅助的清洁能源产业平台，做强做优电池制造和储能业务，致力于为人类提供最清洁、最价廉的电力服务。战略调整后，能源储存成为公司未来的战略核心，清洁能源电力工程和新能源应用作为支撑储能业务的重要手段，用以培育和创造新的产业利润增长点。,报告期内，在缺乏流动性的不利情况下，公司以全新的战略定位开展各项业务，在公司董事会和经营管理层的共同努力下，一方面力推生产、加强预算管理、调整业务结构、开发核心项目和拓展市场；另一方面持续推进与中国建材的重大资产重组、优化资本结构；落实债务重组、降低负债率和财务风险；迁移注册地、引进战略投资者、寻求低成本资金等诸多措施。这些措施积极有效地化解了暂停上市风险，符合公司整体规划，符合公司及全体股东的长远利益，为公司的战略转型和未来发展奠定良好的基础。
"""5fab655f489a8840dfc2afda""",一带一路,年度报告,2019,*ST猛狮：2019年年度报告摘要（更新后）,002684.SZ,*ST猛狮,制造业,电气机械及器材制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002684/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,97,（一）经营情况概述,报告期内，公司致力于发展以储能为核心，清洁能源电力工程和新能源应用为辅的业务体系，重点通过做强做优电池业务，有力保障储能业务的核心竞争力。公司将抓住“能源转变”和“一带一路”两大战略机遇，通过“创新、整合、投资、智能化、国际化”战术方针，最终实现致力于为人类提供最清洁、最价廉的电力服务的宗旨和愿景。,2018-2019年，公司业务发展受制于严重的流动性危机，各项指标较2017年有较大的下降。2018年上半年以来，受国家金融去杆杠、市场下行等因素的影响，公司及其控股股东被动还债金额超过35亿元，对公司的正常经营造成了巨大的负面影响。2018年下半年开始，公司流动性资金枯竭，出现债务违约，大部分项目无法正常开展和运作，公司各板块的经营规模及相关业务的开展不及预期，导致公司整体营业收入未能得到明显改善，盈利能力持续下降，面临暂停上市风险。
"""5fab655f489a8840dfc2afda""",一带一路,年度报告,2019,*ST猛狮：2019年年度报告摘要（更新后）,002684.SZ,*ST猛狮,制造业,电气机械及器材制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002684/page_type/ndbg.phtml,,,,,941,（1）调整发展战略，改革组织机构。,根据公司愿景与现有资源条件，公司调整发展战略规划，确定以“能源转换”和“一带一路”为战略出发点，建立以能源储存为核心，可再生能源生产及应用为辅助的清洁能源产业平台，做强做优电池制造和储能业务。同时，为更好地适应公司调整后的发展战略规划，加强和优化公司治理，使组织架构更加扁平、高效，保障公司调整后的发展战略规划得以有效执行。,（2）通过多种渠道和方式解决逾期金融负债，恢复正常现金流。
"""5fab655f489a8840dfc2afdc""",一带一路,年度报告,2019,台海核电：2019年年度报告（更新后）,002366.SZ,台海核电,制造业,专用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002366/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,127,公司业绩在报告期内驱动影响因素最大是企业产品在结构上发生变化，公司通过几年的技术积累和创新以及实施国外引进先进技术策略，掌握了最为先进装备核心制造技术，实现了从单一材料研发生产向高端装备制造的转变。主要核心装备制造技术表现一是二代半核电主管道全流程制造技术；二是三代主管道全流程制造技术，涵盖目前华龙一号、AP1000、CAP1400等所有国内主流技术路线；三是小型堆核岛主设备关键装备制造技术，可实现压力容器、稳压器、蒸发器和主管道等的模块化制造；四是通过先进技术引进、消化、吸收，完全掌握了乏燃料储运容器制造技术及核废后处理系统装备制造技术。,公司借鉴国际先进理念，通过先进技术的引进、消化、吸收、自主创新，已经形成了装备制造的科研、生产、制造等完整研发体系，先进装备核心制造技术将助推中国核电高端装备强势发展，为实现“一带一路”、核电“走出去”国家战略，做充分的准备。,4、拥有装备制造许可
"""5fab655f489a8840dfc2afdf""",一带一路,年度报告,2019,安阳钢铁：2019年年度报告（修订版）,600569.SH,安阳钢铁,制造业,黑色金属冶炼及压延加工业,河南省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600569/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,102,（一）新产品研发方面,2019年新产品研发坚持市场导向、效益优先，研发资源有效配置重点用户与高端高效产品。全年共研发新牌号规格60个，特别是高磁感取向硅钢成功下线，实现了硅钢由热轧向冷轧的延伸突破。公司产品应用于国内多项重点工程，建立了以国内知名企业为支撑的高端客户群，其中高建钢应用于世界在建的最大高铁站-雄安高铁站项目，桥梁钢应用于“一带一路”重点工程-甘肃国家级高速项目，品牌价值、企业形象显著提升。,（二）高端产品方面
"""5fab655f489a8840dfc2afe0""",一带一路,年度报告,2019,*ST长城：2019年年度报告（更新后）,002071.SZ,*ST长城,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002071/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,558,控股股东性质：自然人控股控股股东类型：法人,"控股股东名称法定代表人/单位负责人成立日期组织机构代码主要经营业务长城影视文化企业集团有限公司赵光华2010年10月12日91330000563316762T文化创意策划、实业投资控股股东报告期内控股和参股的其他境内外上市公司的股权情况长城集团持有杭州天目药业股份有限公司（证券代码：600671）股份30，874,441股，持股比例为25.35%，为天目药业的控股股东；持有长城国际动漫游戏股份有限公司股份68,619,660股，持股比例为21%，为长城动漫的控股股东；长城集团全资子公司香港长城一带一路有限公司持有香港交易所上市公司E-kong25.46%股份，为E-kong实际控制人。",控股股东报告期内变更
"""5fab655f489a8840dfc2afe0""",一带一路,年度报告,2019,*ST长城：2019年年度报告（更新后）,002071.SZ,*ST长城,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002071/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,565,实际控制人姓名与实际控制人关系国籍是否取得其他国家或地区居留权赵锐勇本人中国否主要职业及职务长城影视文化企业集团有限公司的控股股东过去10年曾控股的境内外上长城国际动漫游戏股份有限公司实际控制人，通过长城影视文化企业集团有限公司持有长城,市公司情况动漫21%股份，直接持有长城动漫1.01%股份；杭州天目山药业股份有限公司实际控制人，通过长城影视文化企业集团有限公司持有天目药业25.35%股份，香港交易所上市公司E-kong实际控制人，通过长城影视文化企业集团有限公司全资子公司香港长城一带一路有限公司持有香港交易所上市公司E-kong25.46%股份。,实际控制人报告期内变更
"""5fab655f489a8840dfc2afe1""",一带一路,年度报告,2019,卓郎智能：2019年年度报告（修订版）,600545.SH,卓郎智能,制造业,专用设备制造业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600545/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,147,4. 本土优势与全球布局相结合,2013年金昇实业收购卓郎。作为一个中国企业，卓郎智能开始发挥出显著的本土发展优势。中国纺织行业的规划对卓郎智能制定发展战略而言有非常深远的影响，卓郎智能以其精准的自身定位，在自东向西重新活跃起来的贸易沿线上获得了投资回报，积极响应“一带一路”倡议。,卓郎智能的竞争力因其在全球主要市场的快速布局而进一步提升，生产基地以及销售和服务部门遍布全球13个国家和地区，包括中国、德国、瑞士、印度、土耳其和美国等，为全球超过130个国家和地区的客户群体提供优质服务。
