神马电力,603530,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内,40633,22588,18045,44.41%,67.09%
境外,21621,13164,8457,39.12%,31.44%
其他（补充）,621,225,396,63.76%,1.47%

神马电力,603530,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其中:美洲,6125,-- ,6125,--,4.71%
国外,22941,-- ,22941,--,17.63%
其中:华中,601,-- ,601,--,0.46%
其中:亚洲,5552,-- ,5552,--,4.27%
其中:西南,409,-- ,409,--,0.31%
其中:华南,3354,-- ,3354,--,2.58%
其中:东北,5227,-- ,5227,--,4.02%
其中:华北,17152,-- ,17152,--,13.18%
其中:西北,7526,-- ,7526,--,5.78%
其中:华东,7532,-- ,7532,--,5.79%
国内,41802,-- ,41802,--,32.13%
其他（补充）,616,-- ,616,--,0.47%
其中:欧洲,11263,-- ,11263,--,8.66%

神马电力,603530,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,773,-- ,773,--,0.57%
其中:欧洲,9051,-- ,9051,--,6.69%
其中:西北,11413,-- ,11413,--,8.43%
其中:美洲,3629,-- ,3629,--,2.68%
国外,16607,-- ,16607,--,12.27%
其中:华中,1871,-- ,1871,--,1.38%
其中:亚洲,3926,-- ,3926,--,2.9%
其中:华北,18362,-- ,18362,--,13.57%
其中:华东,10572,-- ,10572,--,7.81%
国内,50667,-- ,50667,--,37.44%
其中:西南,645,-- ,645,--,0.48%
其中:华南,2433,-- ,2433,--,1.8%
其中:东北,5371,-- ,5371,--,3.97%

神马电力,603530,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其中:华北,12330,-- ,12330,--,11.01%
其中:华东,9970,-- ,9970,--,8.9%
国内,43128,-- ,43128,--,38.52%
其中:西南,890,-- ,890,--,0.79%
其中:华南,1969,-- ,1969,--,1.76%
其中:东北,5589,-- ,5589,--,4.99%
其中:美洲,3026,-- ,3026,--,2.7%
国外,12736,-- ,12736,--,11.37%
其中:华中,5004,-- ,5004,--,4.47%
其他（补充）,245,-- ,245,--,0.22%
其中:欧洲,7061,-- ,7061,--,6.31%
其中:西北,7377,-- ,7377,--,6.59%
其中:亚洲,2648,-- ,2648,--,2.37%

